dataset	model	baseline	TP	FP	TN	FN	Precision	Recall	F1	Coverage	Acc@Cov	Overall_Acc	Decision_Acc
bamboogle	mistralai-mistral-7b-instruct-v0-3	ensemble_idk_pairwise_incremental	56	6	13	48	0.9032258064516129	0.5384615384615384	0.6746987951807228	0.4959349593495935	0.21311475409836064	0.10569105691056911	0.5609756097560976
bamboogle	mistralai-mistral-7b-instruct-v0-3	ensemble_ays_idk_pairwise_assistive	72	6	13	32	0.9230769230769231	0.6923076923076923	0.7912087912087913	0.36585365853658536	0.28888888888888886	0.10569105691056911	0.6910569105691057
bamboogle	mistralai-mistral-7b-instruct-v0-3	ensemble_ays_idk_pairwise_incremental	68	7	12	36	0.9066666666666666	0.6538461538461539	0.7597765363128492	0.3902439024390244	0.25	0.0975609756097561	0.6504065040650406
bamboogle	mistralai-mistral-7b-instruct-v0-3	ensemble_ays_idk_pairwise_both	79	8	11	25	0.9080459770114943	0.7596153846153846	0.8272251308900522	0.2926829268292683	0.3055555555555556	0.08943089430894309	0.7317073170731707
bamboogle	qwen-qwen2-5-72b-instruct	ays	53	8	31	31	0.8688524590163934	0.6309523809523809	0.7310344827586208	0.5040650406504065	0.5	0.25203252032520324	0.6829268292682927
bamboogle	qwen-qwen2-5-72b-instruct	idk	73	20	19	11	0.7849462365591398	0.8690476190476191	0.8248587570621468	0.24390243902439024	0.6333333333333333	0.15447154471544716	0.7479674796747967
bamboogle	qwen-qwen2-5-72b-instruct	pairwise_assistive	69	4	35	15	0.9452054794520548	0.8214285714285714	0.8789808917197452	0.4065040650406504	0.7	0.2845528455284553	0.8455284552845529
bamboogle	qwen-qwen2-5-72b-instruct	pairwise_incremental	61	2	37	23	0.9682539682539683	0.7261904761904762	0.8299319727891156	0.4878048780487805	0.6166666666666667	0.3008130081300813	0.7967479674796748
bamboogle	qwen-qwen2-5-72b-instruct	pairwise_model_generated	70	8	31	14	0.8974358974358975	0.8333333333333334	0.8641975308641975	0.36585365853658536	0.6888888888888889	0.25203252032520324	0.8211382113821138
bamboogle	qwen-qwen2-5-72b-instruct	self_consistency	15	2	37	69	0.8823529411764706	0.17857142857142858	0.297029702970297	0.8617886178861789	0.3490566037735849	0.3008130081300813	0.42276422764227645
bamboogle	qwen-qwen2-5-72b-instruct	ensemble_pairwise_both	72	4	35	12	0.9473684210526315	0.8571428571428571	0.9	0.3821138211382114	0.7446808510638298	0.2845528455284553	0.8699186991869918
bamboogle	qwen-qwen2-5-72b-instruct	ensemble_ays_pairwise_assistive	76	10	29	8	0.8837209302325582	0.9047619047619048	0.8941176470588236	0.3008130081300813	0.7837837837837838	0.23577235772357724	0.8536585365853658
bamboogle	qwen-qwen2-5-72b-instruct	ensemble_ays_pairwise_incremental	71	8	31	13	0.8987341772151899	0.8452380952380952	0.8711656441717791	0.35772357723577236	0.7045454545454546	0.25203252032520324	0.8292682926829268
bamboogle	qwen-qwen2-5-72b-instruct	ensemble_idk_pairwise_assistive	80	20	19	4	0.8	0.9523809523809523	0.8695652173913043	0.18699186991869918	0.8260869565217391	0.15447154471544716	0.8048780487804879
bamboogle	qwen-qwen2-5-72b-instruct	ensemble_idk_pairwise_incremental	80	20	19	4	0.8	0.9523809523809523	0.8695652173913043	0.18699186991869918	0.8260869565217391	0.15447154471544716	0.8048780487804879
bamboogle	qwen-qwen2-5-72b-instruct	ensemble_ays_idk_pairwise_assistive	81	22	17	3	0.7864077669902912	0.9642857142857143	0.8663101604278075	0.16260162601626016	0.85	0.13821138211382114	0.7967479674796748
